Overall_power,GPS_power,Wifi_power,Cellular_power,GPS_accuracy,Wifi_accuracy,Cellular_accuracy,GPS_strength,Wifi_strength,Cellular_strength,Battery_percentage,Frequency,Target
8.09E+02,5.50E+01,3.37E+01,2.13E+01,2.83E+01,2.75E+01,3.60E+01,-4.82E+01,-5.17E+01,-6.71E+01,1.36E+01,3,3
8.09E+02,5.50E+01,3.37E+01,2.13E+01,2.83E+01,2.75E+01,3.60E+01,-4.82E+01,-5.17E+01,-6.71E+01,1.36E+01,3,3
5.12E+02,6.51E+01,3.99E+01,2.51E+01,1.99E+01,2.94E+01,4.95E+01,-4.28E+01,-5.34E+01,-7.18E+01,2.36E+01,4,3
5.12E+02,6.51E+01,3.99E+01,2.51E+01,1.99E+01,2.94E+01,4.95E+01,-4.28E+01,-5.34E+01,-7.18E+01,2.36E+01,4,3
7.21E+02,7.31E+01,3.49E+01,2.03E+01,1.99E+01,2.08E+01,3.71E+01,-5.09E+01,-8.00E+01,-6.36E+01,2.62E-01,1,3
7.21E+02,7.31E+01,3.49E+01,2.03E+01,1.99E+01,2.08E+01,3.71E+01,-5.09E+01,-8.00E+01,-6.36E+01,2.62E-01,1,3
2.62E+02,4.02E+01,2.81E+01,1.83E+01,1.10E+01,2.93E+01,3.30E+01,-4.55E+01,-5.19E+01,-8.51E+01,9.15E+01,4,1
2.62E+02,4.02E+01,2.81E+01,1.83E+01,1.10E+01,2.93E+01,3.30E+01,-4.55E+01,-5.19E+01,-8.51E+01,9.15E+01,4,1
9.42E+02,5.18E+01,1.03E+01,2.07E+01,2.75E+01,3.69E+01,4.91E+01,-4.19E+01,-5.50E+01,-6.21E+01,3.12E+01,3,2
9.42E+02,5.18E+01,1.03E+01,2.07E+01,2.75E+01,3.69E+01,4.91E+01,-4.19E+01,-5.50E+01,-6.21E+01,3.12E+01,3,2
1.22E+03,3.56E+01,3.02E+01,2.39E+01,2.73E+01,2.48E+01,4.67E+01,-5.54E+01,-5.60E+01,-7.05E+01,6.53E+01,2,0
1.22E+03,3.56E+01,3.02E+01,2.39E+01,2.73E+01,2.48E+01,4.67E+01,-5.54E+01,-5.60E+01,-7.05E+01,6.53E+01,2,0
1.11E+03,4.64E+01,3.77E+01,2.04E+01,2.87E+01,2.10E+01,3.69E+01,-6.93E+01,-5.88E+01,-7.92E+01,1.69E+01,4,3
1.11E+03,4.64E+01,3.77E+01,2.04E+01,2.87E+01,2.10E+01,3.69E+01,-6.93E+01,-5.88E+01,-7.92E+01,1.69E+01,4,3
8.23E+02,7.24E+01,2.62E+01,1.25E+01,2.12E+01,2.15E+01,3.87E+01,-4.43E+01,-5.20E+01,-6.78E+01,9.81E+01,3,1
8.23E+02,7.24E+01,2.62E+01,1.25E+01,2.12E+01,2.15E+01,3.87E+01,-4.43E+01,-5.20E+01,-6.78E+01,9.81E+01,3,1
1.72E+03,1.97E+01,4.15E+01,1.48E+01,2.42E+01,2.99E+01,3.74E+01,-5.84E+01,-6.88E+01,-6.79E+01,3.11E+01,4,2
1.72E+03,1.97E+01,4.15E+01,1.48E+01,2.42E+01,2.99E+01,3.74E+01,-5.84E+01,-6.88E+01,-6.79E+01,3.11E+01,4,2
7.92E+02,2.75E+01,1.34E+01,2.19E+01,1.48E+01,2.86E+01,4.72E+01,-6.67E+01,-5.20E+01,-6.78E+01,9.52E+01,1,1
7.92E+02,2.75E+01,1.34E+01,2.19E+01,1.48E+01,2.86E+01,4.72E+01,-6.67E+01,-5.20E+01,-6.78E+01,9.52E+01,1,1
4.86E+02,5.72E+01,2.40E+01,2.26E+01,2.40E+01,2.60E+01,3.83E+01,-5.87E+01,-5.70E+01,-6.80E+01,1.80E+01,3,3
4.86E+02,5.72E+01,2.40E+01,2.26E+01,2.40E+01,2.60E+01,3.83E+01,-5.87E+01,-5.70E+01,-6.80E+01,1.80E+01,3,3
8.72E+02,5.60E+01,1.05E+01,1.98E+01,1.79E+01,2.69E+01,4.48E+01,-4.49E+01,-7.12E+01,-9.06E+01,5.50E+01,5,0
8.72E+02,5.60E+01,1.05E+01,1.98E+01,1.79E+01,2.69E+01,4.48E+01,-4.49E+01,-7.12E+01,-9.06E+01,5.50E+01,5,0
8.76E+02,5.86E+01,3.48E+01,1.48E+01,2.46E+01,2.16E+01,3.36E+01,-3.90E+01,-8.13E+01,-5.23E+01,4.77E+01,4,0
8.76E+02,5.86E+01,3.48E+01,1.48E+01,2.46E+01,2.16E+01,3.36E+01,-3.90E+01,-8.13E+01,-5.23E+01,4.77E+01,4,0
1.05E+03,2.08E+01,2.67E+01,2.12E+01,2.33E+01,2.21E+01,3.18E+01,-4.48E+01,-3.75E+01,-7.12E+01,5.23E+01,3,0
1.05E+03,2.08E+01,2.67E+01,2.12E+01,2.33E+01,2.21E+01,3.18E+01,-4.48E+01,-3.75E+01,-7.12E+01,5.23E+01,3,0
8.44E+02,3.50E+01,1.88E+01,1.72E+01,2.41E+01,3.77E+01,4.44E+01,-5.52E+01,-6.53E+01,-7.15E+01,3.49E+01,4,2
8.44E+02,3.50E+01,1.88E+01,1.72E+01,2.41E+01,3.77E+01,4.44E+01,-5.52E+01,-6.53E+01,-7.15E+01,3.49E+01,4,2
7.86E+02,3.24E+01,4.54E+01,2.13E+01,2.46E+01,3.63E+01,3.70E+01,-5.25E+01,-5.17E+01,-7.54E+01,3.43E+01,3,2
7.86E+02,3.24E+01,4.54E+01,2.13E+01,2.46E+01,3.63E+01,3.70E+01,-5.25E+01,-5.17E+01,-7.54E+01,3.43E+01,3,2
1.58E+03,3.71E+01,2.06E+01,1.27E+01,2.68E+01,3.09E+01,3.73E+01,-4.87E+01,-3.94E+01,-8.06E+01,2.38E+01,3,3
1.58E+03,3.71E+01,2.06E+01,1.27E+01,2.68E+01,3.09E+01,3.73E+01,-4.87E+01,-3.94E+01,-8.06E+01,2.38E+01,3,3
5.69E+02,2.20E+01,3.14E+01,2.17E+01,1.26E+01,3.21E+01,4.74E+01,-5.36E+01,-5.48E+01,-6.92E+01,9.96E+01,1,1
5.69E+02,2.20E+01,3.14E+01,2.17E+01,1.26E+01,3.21E+01,4.74E+01,-5.36E+01,-5.48E+01,-6.92E+01,9.96E+01,1,1
9.46E+02,5.15E+01,3.16E+01,1.36E+01,1.43E+01,2.48E+01,4.99E+01,-5.87E+01,-5.62E+01,-6.39E+01,2.30E+01,2,3
9.46E+02,5.15E+01,3.16E+01,1.36E+01,1.43E+01,2.48E+01,4.99E+01,-5.87E+01,-5.62E+01,-6.39E+01,2.30E+01,2,3
1.46E+03,3.90E+01,3.70E+01,2.23E+01,1.48E+01,2.98E+01,3.99E+01,-5.46E+01,-6.02E+01,-6.22E+01,4.44E+01,2,2
1.46E+03,3.90E+01,3.70E+01,2.23E+01,1.48E+01,2.98E+01,3.99E+01,-5.46E+01,-6.02E+01,-6.22E+01,4.44E+01,2,2
1.52E+03,4.64E+01,4.24E+01,1.91E+01,2.83E+01,2.53E+01,4.30E+01,-5.49E+01,-7.40E+01,-5.69E+01,4.98E+00,3,3
1.52E+03,4.64E+01,4.24E+01,1.91E+01,2.83E+01,2.53E+01,4.30E+01,-5.49E+01,-7.40E+01,-5.69E+01,4.98E+00,3,3
1.14E+03,5.53E+01,3.73E+01,1.35E+01,1.47E+01,2.88E+01,4.87E+01,-7.10E+01,-6.03E+01,-8.31E+01,9.92E+01,2,1
1.14E+03,5.53E+01,3.73E+01,1.35E+01,1.47E+01,2.88E+01,4.87E+01,-7.10E+01,-6.03E+01,-8.31E+01,9.92E+01,2,1
